,HDI Rank,Country,1990,1995,2000,2005,2010,2011,2012,2013,2014,2015
85,86,Jordan,56.8,49.0,40.6,33.1,28.0,27.0 hhhh,26.1 hhhh,25.1 hhhh,24.2 hhhh,23.2 hhh
86,56,Kazakhstan,46.2,53.7,42.1,29.1,28.1,28.0 hhhh,28.0 hhhh,28.0 hhhh,27.9 hhhh,27.9 hhh
87,146,Kenya,147.8,113.5,105.7,104.2,100.2,98.4 hhhh,96.5 hhhh,94.6 hhhh,92.7 hhhh,90.9 hhh
88,137,Kiribati,49.3,45.9,41.6,33.5,27.2,25.2 hhhh,23.2 hhhh,21.2 hhhh,19.2 hhhh,17.2 hhh
89,0,Korea (Democratic People's Rep. of),3.2,1.8,1.2,1.0,0.6,0.6 hhhh,0.6 hhhh,0.6 hhhh,0.6 hhhh,0.5 hhh
90,18,Korea (Republic of),6.5,4.2,3.0,2.2,2.1,2.0 hhhh,1.9 hhhh,1.8 hhhh,1.7 hhhh,1.6 hhh
91,51,Kuwait,32.2,21.4,26.3,19.7,14.2,13.3 hhhh,12.4 hhhh,11.6 hhhh,10.7 hhhh,9.8 hhh
92,120,Kyrgyzstan,49.9,68.3,63.1,34.4,29.8,31.7 hhhh,33.7 hhhh,35.7 hhhh,37.6 hhhh,39.6 hhh
93,138,Lao People's Democratic Republic,110.0,104.9,86.6,75.2,74.7,72.6 hhhh,70.5 hhhh,68.4 hhhh,66.2 hhhh,64.1 hhh
94,44,Latvia,44.9,43.5,21.9,17.3,18.2,17.3 hhhh,16.3 hhhh,15.4 hhhh,14.5 hhhh,13.6 hhh
95,76,Lebanon,51.0,39.0,28.3,19.3,12.5,12.5 hhhh,12.5 hhhh,12.4 hhhh,12.4 hhhh,12.4 hhh
96,160,Lesotho,77.7,86.3,94.0,89.6,93.6,93.4 hhhh,93.3 hhhh,93.1 hhhh,92.9 hhhh,92.7 hhh
97,177,Liberia,182.1,161.4,152.1,147.4,142.0,135.3 hhhh,128.7 hhhh,122.1 hhhh,115.5 hhhh,108.8 hhh
98,102,Libya,17.1,7.8,6.8,6.6,6.7,6.6 hhhh,6.5 hhhh,6.4 hhhh,6.3 hhhh,6.2 hhh
99,37,Lithuania,30.2,44.9,31.8,21.1,18.9,17.3 hhhh,15.8 hhhh,14.2 hhhh,12.6 hhhh,11.0 hhh
100,20,Luxembourg,11.4,12.5,10.2,11.7,9.6,8.9 hhhh,8.2 hhhh,7.4 hhhh,6.7 hhhh,5.9 hhh
101,158,Madagascar,150.7,150.2,155.1,149.5,134.3,130.7 hhhh,127.0 hhhh,123.4 hhhh,119.8 hhhh,116.2 hhh
102,170,Malawi,194.5,164.2,166.1,158.3,156.4,152.4 hhhh,148.3 hhhh,144.3 hhhh,140.2 hhhh,136.2 hhh
103,59,Malaysia,19.4,19.0,15.0,13.0,12.8,13.0 hhhh,13.1 hhhh,13.3 hhhh,13.4 hhhh,13.6 hhh
104,105,Maldives,171.3,102.6,48.2,23.9,14.2,12.7 hhhh,11.2 hhhh,9.7 hhhh,8.2 hhhh,6.7 hhh
105,175,Mali,194.4,196.3,190.9,186.3,178.2,177.4 hhhh,176.7 hhhh,176.0 hhhh,175.3 hhhh,174.6 hhh
106,33,Malta,12.2,11.9,18.6,20.3,18.4,18.0 hhhh,17.7 hhhh,17.3 hhhh,17.0 hhhh,16.6 hhh
107,157,Mauritania,109.3,106.4,101.0,94.3,87.6,85.8 hhhh,84.0 hhhh,82.2 hhhh,80.4 hhhh,78.6 hhh
108,64,Mauritius,44.7,42.6,36.3,36.5,34.9,33.6 hhhh,32.3 hhhh,31.0 hhhh,29.7 hhhh,28.5 hhh
109,77,Mexico,88.5,79.8,84.1,76.7,71.2,69.5 hhhh,67.8 hhhh,66.2 hhhh,64.5 hhhh,62.8 hhh
110,127,Micronesia (Federated States of),53.5,48.4,44.8,34.3,25.4,23.3 hhhh,21.2 hhhh,19.2 hhhh,17.1 hhhh,15.0 hhh
111,107,Moldova (Republic of),48.6,63.2,58.1,31.0,27.2,26.3 hhhh,25.4 hhhh,24.4 hhhh,23.5 hhhh,22.6 hhh
112,92,Mongolia,33.9,38.4,31.4,21.5,19.0,18.4 hhhh,17.7 hhhh,17.0 hhhh,16.3 hhhh,15.7 hhh
113,48,Montenegro,32.1,26.3,21.8,16.5,18.7,17.4 hhhh,16.1 hhhh,14.8 hhhh,13.5 hhhh,12.2 hhh
114,123,Morocco,45.6,37.1,33.9,34.0,32.6,32.4 hhhh,32.2 hhhh,32.1 hhhh,31.9 hhhh,31.7 hhh
115,181,Mozambique,179.0,188.9,180.6,187.4,173.6,166.8 hhhh,160.0 hhhh,153.3 hhhh,146.5 hhhh,139.7 hhh
116,145,Myanmar,44.4,30.8,26.4,24.5,20.0,19.3 hhhh,18.6 hhhh,17.9 hhhh,17.2 hhhh,16.5 hhh
117,125,Namibia,116.8,103.4,90.4,81.7,79.8,79.2 hhhh,78.6 hhhh,78.0 hhhh,77.4 hhhh,76.8 hhh
118,144,Nepal,134.7,135.1,127.9,111.0,93.8,89.4 hhhh,85.1 hhhh,80.7 hhhh,76.3 hhhh,71.9 hhh
119,7,Netherlands,6.9,7.1,6.2,7.1,5.3,5.0 hhhh,4.8 hhhh,4.5 hhhh,4.2 hhhh,4.0 hhh
120,13,New Zealand,31.9,33.4,29.9,26.7,30.1,28.8 hhhh,27.5 hhhh,26.2 hhhh,24.9 hhhh,23.6 hhh
121,124,Nicaragua,160.1,146.2,125.2,113.2,104.7,101.5 hhhh,98.4 hhhh,95.2 hhhh,92.0 hhhh,88.8 hhh
122,187,Niger,221.9,222.4,220.9,217.5,213.2,211.0 hhhh,208.9 hhhh,206.7 hhhh,204.5 hhhh,202.4 hhh
123,152,Nigeria,154.9,143.4,136.6,130.3,123.2,120.7 hhhh,118.1 hhhh,115.6 hhhh,113.1 hhhh,110.6 hhh
124,1,Norway,17.8,15.7,12.8,10.0,8.9,8.3 hhhh,7.7 hhhh,7.1 hhhh,6.5 hhhh,5.9 hhh
125,52,Oman,93.9,72.9,43.5,21.1,13.6,12.5 hhhh,11.4 hhhh,10.3 hhhh,9.2 hhhh,8.1 hhh
126,147,Pakistan,95.2,76.1,59.8,45.9,41.6,41.0 hhhh,40.5 hhhh,39.9 hhhh,39.3 hhhh,38.7 hhh
127,114,"Palestine, State of",99.9,110.1,97.5,72.0,65.8,64.4 hhhh,62.9 hhhh,61.5 hhhh,60.1 hhhh,58.6 hhh
128,60,Panama,102.6,92.5,94.0,85.9,81.9,80.5 hhhh,79.0 hhhh,77.5 hhhh,76.0 hhhh,74.5 hhh
129,154,Papua New Guinea,79.6,68.6,68.2,65.0,61.3,60.0 hhhh,58.7 hhhh,57.4 hhhh,56.1 hhhh,54.8 hhh
130,110,Paraguay,91.6,92.4,91.9,76.6,67.8,65.7 hhhh,63.7 hhhh,61.6 hhhh,59.5 hhhh,57.4 hhh
131,87,Peru,72.0,70.0,70.5,61.5,54.7,53.6 hhhh,52.4 hhhh,51.3 hhhh,50.2 hhhh,49.1 hhh
132,116,Philippines,50.1,51.0,49.1,53.9,54.1,55.6 hhhh,57.1 hhhh,58.7 hhhh,60.2 hhhh,61.7 hhh
133,36,Poland,32.5,29.4,19.0,15.5,15.9,15.4 hhhh,14.9 hhhh,14.4 hhhh,13.9 hhhh,13.4 hhh
134,41,Portugal,28.0,21.8,20.4,20.2,16.2,15.0 hhhh,13.7 hhhh,12.4 hhhh,11.1 hhhh,9.9 hhh
135,33,Qatar,57.7,44.0,22.8,19.0,15.2,14.3 hhhh,13.4 hhhh,12.5 hhhh,11.6 hhhh,10.7 hhh
136,50,Romania,59.5,48.2,40.8,37.2,39.1,38.2 hhhh,37.3 hhhh,36.4 hhhh,35.5 hhhh,34.6 hhh
137,49,Russian Federation,49.2,51.8,35.1,27.6,29.3,28.1 hhhh,26.9 hhhh,25.8 hhhh,24.6 hhhh,23.4 hhh
138,159,Rwanda,71.9,58.7,52.6,46.6,40.4,37.6 hhhh,34.8 hhhh,32.0 hhhh,29.2 hhhh,26.3 hhh
139,92,Saint Lucia,120.8,94.6,69.8,62.0,61.4,59.9 hhhh,58.4 hhhh,56.9 hhhh,55.4 hhhh,53.9 hhh
140,99,Saint Vincent and the Grenadines,95.1,88.0,76.1,64.6,58.9,57.3 hhhh,55.8 hhhh,54.2 hhhh,52.6 hhhh,51.0 hhh
141,104,Samoa,39.4,33.7,45.1,37.0,31.7,30.3 hhhh,29.0 hhhh,27.6 hhhh,26.3 hhhh,24.9 hhh
142,142,Sao Tome and Principe,123.2,115.4,107.7,100.2,93.0,91.3 hhhh,89.5 hhhh,87.8 hhhh,86.0 hhhh,84.3 hhh
143,38,Saudi Arabia,84.7,59.9,37.2,20.7,12.0,11.4 hhhh,10.7 hhhh,10.1 hhhh,9.5 hhhh,8.8 hhh
144,162,Senegal,146.9,125.6,111.9,104.5,95.7,92.3 hhhh,88.9 hhhh,85.4 hhhh,82.0 hhhh,78.6 hhh
145,66,Serbia,46.2,36.0,30.8,25.6,21.9,21.3 hhhh,20.7 hhhh,20.2 hhhh,19.6 hhhh,19.0 hhh
146,63,Seychelles,67.6,68.1,57.9,57.9,59.9,59.4 hhhh,58.9 hhhh,58.4 hhhh,57.9 hhhh,57.4 hhh
147,179,Sierra Leone,190.3,176.1,164.5,155.9,144.6,139.3 hhhh,134.1 hhhh,128.8 hhhh,123.5 hhhh,118.2 hhh
148,5,Singapore,8.0,7.9,7.4,7.5,6.0,5.5 hhhh,5.1 hhhh,4.7 hhhh,4.2 hhhh,3.8 hhh
149,40,Slovakia,51.0,45.4,27.2,20.7,20.7,20.6 hhhh,20.5 hhhh,20.4 hhhh,20.3 hhhh,20.2 hhh
150,25,Slovenia,34.7,19.5,9.2,5.9,4.9,4.7 hhhh,4.5 hhhh,4.2 hhhh,4.0 hhhh,3.8 hhh
151,156,Solomon Islands,98.9,84.8,71.1,70.1,62.6,59.8 hhhh,56.9 hhhh,54.1 hhhh,51.3 hhhh,48.4 hhh
152,0,Somalia,76.7,101.7,126.6,126.9,127.2,122.5 hhhh,117.9 hhhh,113.2 hhhh,108.6 hhhh,103.9 hhh
153,119,South Africa,95.4,90.8,80.6,70.7,59.2,56.4 hhhh,53.7 hhhh,51.0 hhhh,48.2 hhhh,45.5 hhh
154,181,South Sudan,141.2,136.1,129.8,119.9,98.3,91.8 hhhh,85.3 hhhh,78.9 hhhh,72.4 hhhh,65.9 hhh
155,27,Spain,15.1,9.7,8.1,10.3,12.2,11.4 hhhh,10.7 hhhh,9.9 hhhh,9.2 hhhh,8.4 hhh
156,73,Sri Lanka,33.5,29.3,29.2,27.9,22.3,20.8 hhhh,19.3 hhhh,17.8 hhhh,16.3 hhhh,14.8 hhh
157,165,Sudan,101.5,108.0,110.5,118.9,106.6,100.1 hhhh,93.6 hhhh,87.1 hhhh,80.6 hhhh,74.0 hhh
158,97,Suriname,71.2,65.3,59.9,55.2,51.3,50.2 hhhh,49.2 hhhh,48.2 hhhh,47.2 hhhh,46.1 hhh
159,148,Swaziland,141.8,124.8,109.4,102.4,88.0,84.5 hhhh,81.0 hhhh,77.4 hhhh,73.9 hhhh,70.4 hhh
160,14,Sweden,11.8,11.4,7.2,6.4,6.0,5.9 hhhh,5.9 hhhh,5.8 hhhh,5.7 hhhh,5.7 hhh
161,2,Switzerland,6.3,6.5,5.7,5.3,4.5,4.2 hhhh,3.9 hhhh,3.6 hhhh,3.3 hhhh,2.9 hhh
162,149,Syrian Arab Republic,82.1,67.9,64.0,53.7,44.6,43.5 hhhh,42.5 hhhh,41.5 hhhh,40.5 hhhh,39.4 hhh
163,129,Tajikistan,56.4,57.4,50.2,40.9,42.4,41.5 hhhh,40.6 hhhh,39.8 hhhh,38.9 hhhh,38.1 hhh
164,151,Tanzania (United Republic of),146.4,139.5,133.3,132.0,130.4,128.1 hhhh,125.7 hhhh,123.3 hhhh,120.9 hhhh,118.6 hhh
165,87,Thailand,53.2,50.2,45.7,41.9,42.4,42.9 hhhh,43.3 hhhh,43.7 hhhh,44.2 hhhh,44.6 hhh
166,82,The former Yugoslav Republic of Macedonia,48.7,43.2,34.8,23.7,20.7,20.1 hhhh,19.4 hhhh,18.8 hhhh,18.2 hhhh,17.6 hhh
167,133,Timor-Leste,54.5,59.5,71.9,70.1,65.8,62.0 hhhh,58.1 hhhh,54.3 hhhh,50.4 hhhh,46.6 hhh
168,166,Togo,127.0,109.7,97.0,93.6,92.7,92.6 hhhh,92.4 hhhh,92.3 hhhh,92.2 hhhh,92.0 hhh
169,101,Tonga,25.5,25.5,22.5,21.3,19.0,18.2 hhhh,17.5 hhhh,16.7 hhhh,15.9 hhhh,15.2 hhh
170,65,Trinidad and Tobago,72.1,56.1,44.3,38.4,38.1,36.8 hhhh,35.5 hhhh,34.1 hhhh,32.8 hhhh,31.5 hhh
171,97,Tunisia,23.7,17.1,9.7,6.1,6.0,6.2 hhhh,6.3 hhhh,6.5 hhhh,6.6 hhhh,6.8 hhh
172,71,Turkey,71.1,60.8,53.0,45.1,39.7,37.3 hhhh,34.9 hhhh,32.4 hhhh,30.0 hhhh,27.6 hhh
173,111,Turkmenistan,22.3,26.4,25.4,24.4,20.9,20.0 hhhh,19.1 hhhh,18.2 hhhh,17.3 hhhh,16.4 hhh
174,163,Uganda,185.5,201.3,191.0,172.5,149.9,142.3 hhhh,134.7 hhhh,127.1 hhhh,119.5 hhhh,111.9 hhh
175,84,Ukraine,61.4,57.7,43.5,29.3,30.4,29.2 hhhh,27.9 hhhh,26.6 hhhh,25.4 hhhh,24.1 hhh
176,42,United Arab Emirates,74.0,41.7,27.6,25.6,29.9,29.8 hhhh,29.8 hhhh,29.7 hhhh,29.7 hhhh,29.7 hhh
177,16,United Kingdom,31.7,30.5,30.3,26.6,25.6,23.4 hhhh,21.2 hhhh,19.0 hhhh,16.8 hhhh,14.6 hhh
178,10,United States,53.3,59.6,51.3,43.2,39.7,36.3 hhhh,32.9 hhhh,29.4 hhhh,26.0 hhhh,22.6 hhh
179,54,Uruguay,66.4,70.6,67.3,63.5,61.2,60.2 hhhh,59.2 hhhh,58.2 hhhh,57.2 hhhh,56.1 hhh
180,105,Uzbekistan,42.8,58.1,40.6,18.3,18.0,17.9 hhhh,17.9 hhhh,17.8 hhhh,17.8 hhhh,17.7 hhh
181,134,Vanuatu,77.7,69.8,62.0,54.7,47.7,46.8 hhhh,45.8 hhhh,44.9 hhhh,44.0 hhhh,43.1 hhh
182,71,Venezuela (Bolivarian Republic of),100.2,94.9,90.6,88.0,82.6,81.9 hhhh,81.3 hhhh,80.6 hhhh,80.0 hhhh,79.4 hhh
183,115,Viet Nam,26.7,33.8,29.7,27.9,30.8,32.4 hhhh,33.9 hhhh,35.5 hhhh,37.1 hhhh,38.6 hhh
184,168,Yemen,152.5,146.2,111.3,86.3,78.1,74.8 hhhh,71.5 hhhh,68.1 hhhh,64.8 hhhh,61.5 hhh
185,139,Zambia,171.0,162.7,143.7,143.3,122.0,115.7 hhhh,109.4 hhhh,103.1 hhhh,96.8 hhhh,90.4 hhh
186,154,Zimbabwe,108.3,111.0,110.1,107.3,117.5,115.9 hhhh,114.4 hhhh,112.8 hhhh,111.2 hhhh,109.7 hhh
187,,,,,,,,,,,,
