,HDI Rank,Country,1995,1997,2000,2005,2010,2011,2012,2013,2014,2015
151,66,Serbia,,,,,21.6,22.0,33.2,33.2,34.0,34.0
152,63,Seychelles,27.3 ddd,27.3,23.5,29.4,23.5,43.8,43.8,43.8,43.8,43.8
153,179,Sierra Leone,,,8.8,14.5,13.2,12.9,12.4,12.4,12.1,12.4
154,5,Singapore,4.8 ddd,4.8,4.3,16.0,23.4,22.2,24.2,24.2,25.3,23.9
155,40,Slovakia,14.7 ddd,14.7,14.0,16.7,15.3,16.0,18.7,18.7,18.7,18.7
156,25,Slovenia,7.8 ddd,7.8,,10.8,10.8,23.1,24.6,24.6,26.9,27.7
157,156,Solomon Islands,,,2.0,0.1,0.1,0.1,2.0,2.0,2.0,2.0
158,0,Somalia,,,,8.0,6.8,6.8,13.8,13.8,13.8,13.8
159,119,South Africa,23.7 ddd,23.7,30.1,32.8,42.7,41.1,41.1,41.1,40.7,41.2 r
160,181,South Sudan,,,,,,24.3,24.3,24.3,24.3,24.3
161,27,Spain,19.9 ddd,19.9,25.9,30.5,34.1,34.9,35.2,35.2,37.0,38.0
162,73,Sri Lanka,5.3 ddd,5.3,,4.9,5.3,5.8,5.8,5.8,5.8,4.9
163,165,Sudan,5.3 ddd,5.3,,13.6,24.2,24.1,24.1,24.1,23.8,31.0
164,97,Suriname,15.7 ddd,15.7,,25.5,9.8,11.8,11.8,11.8,11.8,25.5
165,148,Swaziland,8.5 ddd,8.5,6.3,16.8,21.9,21.9,21.9,14.7,14.7,14.7
166,14,Sweden,40.4 ddd,40.4,42.7,45.3,45.0,44.7,44.7,45.0,44.7,43.6
167,2,Switzerland,20.3 ddd,20.3,22.4,24.8,27.6,26.8,27.2,28.9,28.9,28.9
168,149,Syrian Arab Republic,9.6 ddd,9.6,10.4,12.0,12.4,12.4,12.0,12.0,12.0,12.4
169,129,Tajikistan,2.8 ddd,2.8,14.0,19.6,17.5,17.5,17.5,17.5,15.2,14.7
170,151,Tanzania (United Republic of),17.5 ddd,17.5,,30.4,,36.0,36.0,36.0,36.0,36.0
171,87,Thailand,6.6 ddd,6.6,6.8,10.6,14.0,15.7,15.7,15.7,6.1,6.1
172,82,The former Yugoslav Republic of Macedonia,3.3 ddd,3.3,6.7,19.2,32.5,30.9,32.5,34.1,33.3,33.3
173,133,Timor-Leste,,,,25.3,29.2,32.3,38.5,38.5,38.5,38.5
174,166,Togo,1.2 ddd,1.2,4.9,7.4,11.1,11.1,11.1,15.4,17.6,17.6
175,101,Tonga,0.1 ddd,0.1,0.1,3.4,0.1,3.6,3.6,3.6,0.1,0.1 m
176,65,Trinidad and Tobago,19.4 ddd,19.4,,25.4,27.4,27.4,26.0,26.0,24.7,31.5
177,97,Tunisia,6.7 ddd,6.7,11.5,19.3,23.3,26.7,26.7,26.7,31.3,31.3
178,71,Turkey,2.4 ddd,2.4,4.2,4.4,9.1,14.2,14.2,14.4,14.4,14.9
179,111,Turkmenistan,18.0 ddd,18.0,26.0,16.0,16.8,16.8,16.8,16.8,26.4,25.8
180,0,Tuvalu,8.3 ddd,8.3,0.1,0.1,0.1,6.7,6.7,6.7,6.7,6.7
181,163,Uganda,18.1 ddd,18.1,17.8,23.9,31.3,35.0,35.0,35.0,35.0,35.0
182,84,Ukraine,3.8 ddd,3.8,7.8,5.3,8.0,8.0,9.4,9.4,11.7,12.1
183,42,United Arab Emirates,0.1 ddd,0.1,0.1,0.1,22.5,17.5,17.5,17.5,17.5,22.5
184,16,United Kingdom,11.6 ddd,11.6,17.0,18.5,21.0,22.1,22.6,22.6,23.0,26.7
185,10,United States,11.2 ddd,11.2,,15.0,16.8,16.9,18.4,18.2,19.4,19.5
186,54,Uruguay,6.9 ddd,6.9,11.5,10.8,14.6,12.3,12.3,12.3,11.5,19.2
187,105,Uzbekistan,6.0 ddd,6.0,7.2,16.4,19.2,19.2,19.2,19.2,19.2,16.4
188,134,Vanuatu,,,0.1,3.8,3.8,1.9,0.1,0.1,0.1,0.1 m
189,71,Venezuela (Bolivarian Republic of),6.3 ddd,6.3,,17.4,17.0,17.0,17.0,17.0,17.0,17.0
190,115,Viet Nam,26.2 ddd,26.2,26.0,27.3,25.8,24.4,24.4,24.4,24.3,24.3
191,168,Yemen,,,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.5
192,139,Zambia,9.7 ddd,9.7,10.1,12.7,14.0,11.5,11.5,11.5,10.8,12.7
193,154,Zimbabwe,14.7 ddd,14.7,9.3,20.8,17.9,17.9,17.9,35.1,35.1,35.1
194,,,,,,,,,,,,
