,HDI Rank,Country,1995,2000,2005,2010,2011,2012,2013,2014,2015
124,38,Saudi Arabia,,,0.672,0.633,0.623,0.619,0.267,0.262,0.257
125,162,Senegal,0.628 eee,0.632,0.629,0.575,0.567,0.539,0.532,0.525,0.521
126,66,Serbia,,,,0.220,0.217,0.189,0.190,0.187,0.185
127,179,Sierra Leone,,0.695,0.669,0.665,0.662,0.660,0.656,0.653,0.650
128,5,Singapore,0.252 eee,0.272,0.167,0.099,0.102,0.091,0.082,0.069,0.068
129,40,Slovakia,0.248 eee,0.219,0.189,0.194,0.192,0.182,0.180,0.180,0.180
130,25,Slovenia,0.247 eee,,0.139,0.124,0.073,0.067,0.064,0.057,0.053
131,119,South Africa,0.424 eee,0.419,0.426,0.423,0.419,0.415,0.406,0.400,0.394
132,27,Spain,0.157 eee,0.119,0.118,0.113,0.106,0.100,0.095,0.087,0.081
133,73,Sri Lanka,0.471 eee,,0.445,0.409,0.394,0.391,0.382,0.385,0.386
134,165,Sudan,0.720 eee,,0.665,0.622,0.616,0.609,0.602,0.595,0.575
135,97,Suriname,,,0.492,0.514,0.498,0.495,0.496,0.493,0.448
136,148,Swaziland,0.652 eee,0.661,0.619,0.572,0.565,0.559,0.576,0.570,0.566
137,14,Sweden,0.090 eee,0.062,0.053,0.051,0.049,0.049,0.048,0.047,0.048
138,2,Switzerland,0.117 eee,0.094,0.073,0.062,0.060,0.056,0.049,0.045,0.040
139,149,Syrian Arab Republic,0.569 eee,0.550,0.540,0.539,0.542,0.547,0.551,0.553,0.554
140,129,Tajikistan,0.558 eee,0.410,0.345,0.330,0.328,0.323,0.321,0.324,0.322
141,151,Tanzania (United Republic of),0.652 eee,,0.592,,0.558,0.556,0.553,0.548,0.544
142,87,Thailand,0.400 eee,0.397,0.348,0.319,0.307,0.309,0.307,0.369,0.366
143,82,The former Yugoslav Republic of Macedonia,,,,,,,,,0.160
144,166,Togo,0.741 eee,0.665,0.633,0.598,0.589,0.586,0.567,0.557,0.556
145,101,Tonga,0.684 eee,0.671,0.476,0.673,0.472,0.470,0.465,0.662,0.659
146,65,Trinidad and Tobago,0.426 eee,,0.353,0.353,0.349,0.346,0.343,0.341,0.324
147,97,Tunisia,0.532 eee,0.427,0.336,0.309,0.301,0.297,0.299,0.288,0.289
148,71,Turkey,0.631 eee,0.589,0.564,0.426,0.381,0.365,0.351,0.340,0.328
149,111,Turkmenistan,0.369 eee,,,,,,,,
150,163,Uganda,0.650 eee,0.643,0.592,0.564,0.552,0.545,0.537,0.529,0.522
151,84,Ukraine,0.482 eee,0.384,0.370,0.334,0.329,0.316,0.308,0.290,0.284
152,42,United Arab Emirates,0.643 eee,0.609,0.591,0.231,0.246,0.247,0.247,0.247,0.232
153,16,United Kingdom,0.237 eee,0.215,0.206,0.184,0.174,0.168,0.159,0.149,0.131
154,10,United States,0.305 eee,,0.264,0.254,0.248,0.235,0.227,0.214,0.203
155,54,Uruguay,0.440 eee,0.389,0.373,0.327,0.326,0.320,0.320,0.317,0.284
156,105,Uzbekistan,,,,,,,0.279,0.279,0.287
157,71,Venezuela (Bolivarian Republic of),0.547 eee,,0.470,0.469,0.468,0.466,0.466,0.463,0.461
158,115,Viet Nam,0.383 eee,0.347,0.317,0.324,0.328,0.331,0.333,0.334,0.337
159,168,Yemen,,0.814,0.791,0.779,0.772,0.767,0.762,0.757,0.767
160,139,Zambia,0.625 eee,0.626,0.593,0.553,0.556,0.550,0.544,0.541,0.526
161,154,Zimbabwe,0.598 eee,0.631,0.589,0.581,0.575,0.569,0.532,0.535,0.540
162,,,,,,,,,,,
