,HDI Rank,Country,1990,1995,2000,2005,2010,2015
159,148,Swaziland,97.7,95.9,85.0,76.1,67.2,63.2
160,14,Sweden,27.9,29.6,28.7,26.7,25.3,27.5
161,2,Switzerland,24.9,26.1,25.9,24.0,22.1,22.0
162,149,Syrian Arab Republic,93.7,82.6,73.2,66.8,58.5,63.1
163,129,Tajikistan,83.1,85.5,80.1,66.2,58.1,56.0
164,151,Tanzania (United Republic of),89.7 s,87.9 s,86.1 s,86.7 s,87.0 s,87.6 s
165,87,Thailand,46.3,40.3,34.5,31.6,26.7,24.7
166,82,The former Yugoslav Republic of Macedonia,39.3,37.2,33.0,29.3,25.7,24.0
167,133,Timor-Leste,67.1,76.8,104.8,98.1,75.8,81.5
168,166,Togo,91.0,89.1,84.0,80.1,78.7,76.8
169,101,Tonga,70.2,71.7,68.5,68.0,66.0,64.1
170,65,Trinidad and Tobago,55.4,48.7,37.7,30.8,29.2,29.8
171,97,Tunisia,64.2,55.7,46.3,38.0,33.7,33.8
172,71,Turkey,61.2,54.1,48.5,44.2,40.7,38.4
173,111,Turkmenistan,72.6,70.2,61.1,52.1,43.9,41.7
174,163,Uganda,97.5,100.7,102.7,102.9,101.0,97.3
175,84,Ukraine,31.5 iii,29.5 iii,24.5 iii,21.1 iii,19.8 iii,21.4 iii
176,42,United Arab Emirates,45.0,36.9,34.7,22.5,15.5,16.4
177,16,United Kingdom,29.1,30.1,29.3,27.3,26.8,27.6
178,10,United States,32.8,33.1,32.0,30.4,29.4,28.6
179,54,Uruguay,41.7,40.0,39.4,37.9,35.4,33.4
180,105,Uzbekistan,74.3,72.5,63.0,51.1,43.9,42.7
181,134,Vanuatu,83.4,79.4,75.2,69.5,66.0,61.6
182,71,Venezuela (Bolivarian Republic of),64.9,60.7,55.5,49.9,45.8,42.8
183,115,Viet Nam,65.7,60.8,51.1,41.0,33.9,32.9
184,168,Yemen,113.3,107.5,100.0,88.5,77.0,70.7
185,139,Zambia,95.1,93.5,91.7,92.3,92.4,89.7
186,154,Zimbabwe,90.5,85.0,79.0,76.4,75.2,75.0
187,,,,,,,,
