,HDI Rank,Country,1990,1995,2000,2005,2010,2015
176,42,United Arab Emirates,1.04,1.05,1.05,1.04,1.05,1.05 hhh
177,16,United Kingdom,1.05,1.05,1.05,1.05,1.05,1.05 hhh
178,10,United States,1.05,1.05,1.05,1.05,1.05,1.05 hhh
179,54,Uruguay,1.05,1.05,1.05,1.05,1.05,1.05 hhh
180,105,Uzbekistan,1.05,1.07,1.06,1.06,1.06,1.06 hhh
181,134,Vanuatu,1.07,1.07,1.07,1.07,1.07,1.07 hhh
182,71,Venezuela (Bolivarian Republic of),1.05,1.05,1.05,1.05,1.05,1.05 hhh
183,115,Viet Nam,1.05,1.06,1.06,1.07,1.10,1.11 hhh
184,168,Yemen,1.05,1.05,1.05,1.05,1.05,1.05 hhh
185,139,Zambia,1.03,1.03,1.03,1.03,1.03,1.03 hhh
186,154,Zimbabwe,1.02,1.02,1.02,1.02,1.02,1.02 hhh
187,,,,,,,,
