,HDI Rank,Country,2000,2005,2010,2011,2012,2013,2014,2015
156,129,Tajikistan,845,1272,1676,1774,1872,1971 ee,2059,2100
157,151,Tanzania (United Republic of),1214,1491,1831,1920,2121,2212 ee,2290,2359
158,87,Thailand,6991,8461,11365,11719,12353,12594 ee,12633,12939
159,82,The former Yugoslav Republic of Macedonia,5510,6160,8274,8445,8380,8612 ee,8793,9050
160,133,Timor-Leste,1232,1270,3517,4400,4439,3723 ee,3079,3124
161,166,Togo,1014,981,943,947,986,1027 ee,1088,1116
162,101,Tonga,3230,3674,3818,3879,3887,3771 ee,3837,3959
163,65,Trinidad and Tobago,10956,17605,21276,19525,19393,20871 ee,20901,21104
164,97,Tunisia,2952,3571,4547,4400,4555,4600 ee,4674,4662
165,71,Turkey,6869,5993,9312,9961,10004,9674 ee,10425,10649
166,111,Turkmenistan,3235,3854,6091,6877,7539,8199 ee,8901,9359
167,163,Uganda,722,700,880,1231,1239,1244 ee,1250,1266
168,84,Ukraine,3504,5438,6196,6353,6559,6557 ee,6522,5791
169,42,United Arab Emirates,31293,32528,24738,24779,25778,26241 ee,27042,27254
170,16,United Kingdom,24547,29321,25164,25456,25552,25598 ee,25923,26311
171,10,United States,35422,38850,39858,40284,40838,41175 ee,41709,42275
172,54,Uruguay,9028,9071,12413,13087,13598,14175 ee,14580,14608
173,105,Uzbekistan,1633,2011,2935,3114,3284,3529 ee,3730,3891
174,134,Vanuatu,2005,1838,2163,2156,2067,2187 ee,2207,2139
175,71,Venezuela (Bolivarian Republic of),8879,11097,12396,12512,13036,13076 ee,12453,11581
176,115,Viet Nam,2164,3065,3816,4014,4250,4451 ee,4634,4835
177,168,Yemen,1423,1589,1793,1494,1498,1532 ee,1497,1045
178,139,Zambia,1583,1786,2448,2577,2761,2772 ee,2800,2803
179,154,Zimbabwe,1861,1301,1127,1209,1304,1328 ee,1341,1360
180,,,,,,,,,,
