,HDI Rank,Country,1990,1995,2000,2005,2010,2011,2012,2013,2014,2015
106,144,Nepal,7.0,8.1,9.5,13.3,17.7,19.3,20.9,22.5,24.1,24.1 aaa
107,7,Netherlands,74.7,78.6,81.8,86.4,87.1,87.2,87.7,86.0,86.2,86.2 d
108,13,New Zealand,60.5,63.1,72.1,81.0,92.6,95.0,94.7,96.8,98.8,98.8 d
109,124,Nicaragua,16.4,21.8,28.6,33.9,39.4,41.0,42.6,44.2,45.7,45.7 aaa
110,187,Niger,0.8,1.0,1.4,2.0,2.4,2.7,3.0,3.3,3.6,3.6 aaa
111,1,Norway,62.5,69.0,74.9,96.6,94.5,97.4,96.9,96.5,96.1,96.1 d
112,52,Oman,,,25.1,38.4,51.1,53.2,55.3,57.5,59.8,59.8 d
113,147,Pakistan,6.9,9.8,12.8,19.9,20.7,19.3,24.4,25.2,26.5,26.5 d
114,114,"Palestine, State of",,,37.9,40.8,49.1,51.0,53.9,55.6,56.3,56.3 d
115,60,Panama,45.1,47.0,48.9,55.7,62.5,64.4,66.3,68.2,70.1,70.1 d
116,154,Papua New Guinea,7.2,8.7,7.7,7.1,7.6,7.9,8.2,8.5,8.8,8.8 aaa
117,110,Paraguay,25.1,25.7,25.2,39.2,32.0,35.6,39.1,42.7,46.2,46.2 d
118,87,Peru,37.9,42.6,50.7,43.6,53.2,54.1,56.3,57.3,56.2,56.2 d
119,116,Philippines,44.2,46.6,49.0,65.1,67.5,,,71.1,72.8,72.8 d
120,36,Poland,55.7,60.6,64.9,71.1,77.9,78.8,79.4,80.4,81.1,81.1 d
121,41,Portugal,20.1,21.4,23.9,32.6,41.1,44.9,47.2,48.8,50.8,50.8 d
122,33,Qatar,42.9,49.2,54.5,62.1,44.5,62.7,66.7,69.8,70.9,70.9 d
123,50,Romania,63.8,70.6,73.2,78.8,83.9,85.1,86.1,86.6,86.1,86.1 d
124,49,Russian Federation,74.2,80.3,91.5,93.6,89.6,90.8,92.1,93.4,94.6,94.6 d
125,159,Rwanda,2.8,3.6,5.0,6.3,8.0,8.7,9.2,9.8,10.5,10.5 d
126,92,Saint Lucia,,,,,48.2,48.2,48.2,48.2,48.2,48.2 d
127,104,Samoa,,,63.3,68.4,73.6,74.6,75.7,76.7,77.8,77.8 d
128,142,Sao Tome and Principe,,,,,30.8,30.8,30.8,30.8,30.8,30.8 d
129,38,Saudi Arabia,21.8,27.0,31.8,44.9,54.6,56.6,58.5,60.5,63.3,63.3 d
130,162,Senegal,4.1,4.3,4.3,4.1,6.7,7.2,8.4,9.6,10.2,10.2 d
131,66,Serbia,32.5,40.7,44.7,62.7,80.7,79.5,80.5,81.6,82.3,82.3 d
132,179,Sierra Leone,4.0,5.2,6.3,7.3,9.9,11.7,13.4,15.1,16.8,16.8 aaa
