,HDI Rank,Country,2010,2011,2012,2013,2014,2015
158,84,Ukraine,2.8,6.1,6.1,6.1,3.6,3.6 qqq
159,16,United Kingdom,2.1,2.2,2.6,2.6,2.8,2.8 qqq
160,10,United States,3.2,3.7,5.3,6.7,5.3,5.6 qqq
161,54,Uruguay,10.8,10.8,10.8,10.9,9.2,10.4 qqq
162,105,Uzbekistan,1.4,1.4,1.4,1.4,1.4,1.4 qqq
163,134,Vanuatu,,,,,17.5,17.5 qqq
164,71,Venezuela (Bolivarian Republic of),17.0,18.1,18.1,17.6,17.6,17.6 qqq
165,115,Viet Nam,17.1,17.1,17.1,18.0,18.0,17.6 qqq
166,168,Yemen,49.8,49.8,49.8,47.2,48.1,48.1 qqq
167,139,Zambia,24.2,23.8,23.8,23.8,21.7,21.7 qqq
168,154,Zimbabwe,20.1,20.1,17.8,17.8,17.4,17.4 qqq
169,,,,,,,,
